Afghanistan,No data
Andorra,No data
Antigua and Barbuda,No data
Belgium,No data
Bhutan,No data
Bosnia and Herzegovina,No data
Brunei Darussalam,No data
Canada,No data
China,No data
Cook Islands,No data
Croatia,No data
Democratic People's Republic of Korea,No data
Dominica,No data
Fiji,No data
Finland,No data
Grenada,No data
Iceland,No data
Iraq,No data
Israel,No data
Jordan,No data
Kiribati,No data
Latvia,No data
Libya,No data
Maldives,No data
Malta,No data
Mauritania,No data
Mauritius,No data
Micronesia (Federated States of),No data
Monaco,No data
Nauru,No data
Niue,No data
Oman,No data
Palau,No data
Poland,No data
Republic of Korea,No data
Saint Kitts and Nevis,No data
Saint Lucia,No data
Saint Vincent and the Grenadines,No data
Samoa,No data
San Marino,No data
Sao Tome and Principe,No data
Saudi Arabia,No data
Seychelles,No data
Solomon Islands,No data
Sweden,No data
Switzerland,No data
Syrian Arab Republic,No data
Timor-Leste,No data
Tonga,No data
Turkey,No data
Turkmenistan,No data
Tuvalu,No data
United Arab Emirates,No data
United Kingdom of Great Britain and Northern Ireland,No data
United States of America,No data
Vanuatu,No data
Venezuela (Bolivarian Republic of),No data
Yemen,No data