,Total count,Total count,Total count,Total count,Total count,Total count,Total count,Total count,"Rate per 100,000 population","Rate per 100,000 population","Rate per 100,000 population","Rate per 100,000 population","Rate per 100,000 population","Rate per 100,000 population","Rate per 100,000 population","Rate per 100,000 population"
Country/territory,2003,2004,2005,2006,2007,2008,2009,2010,2003,2004,2005,2006,2007,2008,2009,2010
Mauritius,53,40,38,64,77,69,57,51,4.3,3.2,3.0,5.1,6.0,5.4,4.4,3.9
Mozambique,,102,64,46,41,47,44,,,0.5,0.3,0.2,0.2,0.2,0.2,
Uganda,0,549,732,750,599,1536,619,709,2.0,2.0,2.6,2.6,2.0,4.9,1.9,2.1
Zimbabwe,3858,4997,4790,4967,4762,3186,,,30.6,39.7,38.1,39.6,38.2,25.6,,
Cameroon,451,555,592,580,447,,,,2.7,3.2,3.4,3.2,2.4,,,
Algeria,723,630,376,495,836,812,,,2.3,1.9,1.1,1.5,2.5,2.4,,
Morocco,618,453,475,1063,1215,1130,1507,,2.1,1.5,1.6,3.5,3.9,3.6,4.8,
Sudan,,,,,,1189,,,,,,,,2.9,,
Botswana,,,,,,,1754,1865,,,,,,,88.5,92.9
Lesotho,,,,,1797,1878,1777,,,,,,85.3,88.3,82.7,
Swaziland,785,849,,,,,,,72.1,77.5,,,,,,
Guinea,,,,,92,,,,,,,,1.0,,,
Senegal,,,301,159,167,416,710,693,,,2.8,1.4,1.5,3.5,5.9,5.6
Sierra Leone,,,,,135,79,,,,,,,2.5,1.4,,
Bahamas,,,87,72,135,118,109,78,,,27.2,22.2,41.1,35.4,32.2,22.7
Barbados,,,,,,,68,,,,,,,,24.9,
Grenada,,,23,22,30,31,57,32,,,22.4,21.4,29.0,29.9,54.8,30.6
Jamaica,,,,,,,695,668,,,,,,,25.5,24.4
Saint Kitts and Nevis,,,,,,,16,15,,,,,,,30.9,28.6
Saint Vincent and the Grenadines,,66,87,50,60,36,54,28,,60.8,80.0,45.9,55.0,33.0,49.4,25.6
Trinidad and Tobago,,305,334,259,317,236,247,,,23.3,25.4,19.6,23.9,17.7,18.5,
Belize,,,48,44,,,30,21,,,17.1,15.3,,,9.8,6.7
Costa Rica,576,600,543,485,,,1685,,13.8,14.2,12.6,11.1,,,36.7,
El Salvador,,,1185,1140,,,756,681,,,19.6,18.8,,,12.3,11.0
Guatemala,,363,314,289,318,385,401,,,2.9,2.5,2.2,2.4,2.8,2.9,
Mexico,,13650,13550,13894,14199,14078,14850,14993,,13.0,12.7,12.9,13.0,12.7,13.3,13.2
Nicaragua,,,1322,1524,,,,1829,,,24.4,27.7,,,,31.6
Panama *,,629,771,792,855,713,809,996*,,19.8,23.8,24.0,25.5,20.9,23.4,28.3*
Argentina,,,3154,3264,3276,3367,,,,,8.2,8.4,8.3,8.5,,
Bolivia,,,1137,1137,1437,1596,1989,2587,,,12.4,12.2,15.2,16.6,20.4,26.1
Chile,1658,1845,1974,2034,1980,2233,,,10.4,11.4,12.1,12.4,11.9,13.3,,
Colombia,,1188,2627,3347,3379,3380,3540,3149,,2.8,6.1,7.7,7.6,7.5,7.8,6.8
Ecuador,1488,1246,1499,1484,,,,,22.9,9.4,11.2,10.9,,,,
Guyana,,,,,,,62,117,,,,,,,8.2,15.5
Paraguay,,,387,359,,,,,,,6.6,6.0,,,,
Peru,5991,5721,6268,6569,7208,7560,6751,,22.3,21.0,22.7,23.6,25.6,26.6,23.5,
Suriname,186,223,,,,,,,38.2,45.2,,,,,,
Uruguay,297,327,,,,,,,8.9,9.8,,,,,,
Bermuda,36,43,,,,,,,56.6,67.3,,,,,,
Canada,531,587,565,570,528,490,471,576,1.7,1.8,1.8,1.7,1.6,1.5,1.4,1.7
United States of America,93883,95089,94347,94472,92999,90750,89241,84767,32.2,32.3,31.8,31.5,30.6,29.8,29.0,27.3
Kazakhstan,,,1583,1584,1514,1298,,,,,10.4,10.3,9.8,8.3,,
Kyrgyzstan,296,278,298,271,300,303,303,314,5.9,5.5,5.9,5.3,5.8,5.8,5.7,5.9
Tajikistan,,53,54,56,47,55,36,,,0.8,0.8,0.9,0.7,0.8,0.5,
Turkmenistan,37,36,27,27,,,,,0.8,0.8,0.6,0.6,,,,
Hong Kong,70,92,99,96,107,105,136,112,1.0,1.4,1.5,1.4,1.6,1.5,1.9,1.6
Japan,2472,2176,2076,1948,1766,1582,1402,1289,2.0,1.7,1.6,1.5,1.4,1.3,1.1,1.0
Mongolia,386,378,320,314,355,354,332,342,15.5,15.0,12.6,12.2,13.5,13.3,12.2,12.4
Republic of Korea,5899,6321,,,,,,,12.7,13.5,,,,,,13.6
Brunei Darussalam,24,26,24,28,,,,,6.9,7.3,6.6,7.6,,,,
Philippines,3084,2918,2962,2584,2409,2585,5813,,3.7,3.5,3.5,3.0,2.7,2.9,6.3,
Singapore,110,103,124,118,,,,,2.7,2.5,2.9,2.7,,,,
Thailand,,,5071,5308,5152,4641,4676,4636,,,7.6,7.9,7.6,6.8,6.8,6.7
Bangladesh,,,1121,1162,,,,,,,7.8,7.82,,,,
India,,18233,18359,19348,20737,21467,21397,22172,,1.6,1.6,1.7,1.8,1.8,1.8,1.8
Maldives,2,1,,,5,9,,,0.7,0.3,,,1.6,2.9,,
Nepal,,,191,210,,,,,,,0.7,0.8,,,,
Sri Lanka,1378,1432,,,,,,,7.1,7.3,,,,,,
Armenia,3,9,15,7,5,15,15,11,0.1,0.3,0.5,0.2,0.2,0.5,0.5,0.4
Azerbaijan,49,25,44,35,34,25,35,16,0.6,0.3,0.5,0.4,0.4,0.3,0.4,0.2
Bahrain,19,27,25,17,21,36,,,2.9,4.0,3.4,2.1,2.3,3.4,,
Cyprus,32,41,39,29,19,34,27,,3.2,4.0,3.8,2.8,1.8,3.2,2.5,
Georgia,52,62,141,167,156,100,84,82,1.1,1.4,3.1,3.8,3.5,2.3,1.9,1.9
Israel,,1319,1223,1291,1270,1243,,,,20.4,18.5,19.1,18.4,17.5,,
Jordan,,,78,110,,,,,,,1.5,2.0,,,,
Kuwait,,98,108,125,137,120,119,,,4.5,4.8,5.3,5.6,4.7,4.5,
Lebanon,,,39,19,,,,,,,1.0,0.5,,,,
Palestinian Territory,85,98,105,,,,,,2.5,2.8,3.0,,,,,
Oman,,,,,132,183,,,,,,,5.2,6.9,,
Qatar,11,13,,,,,,,1.7,1.8,,,,,,
Syrian Arab Republic,131,97,135,112,125,156,,,0.7,0.5,0.7,0.6,0.6,0.8,,
Turkey,1604,1638,1694,1783,1148,1071,,,2.4,2.4,2.5,2.6,1.6,1.5,,
United Arab Emirates,44,52,62,72,,,,,1.3,1.4,1.5,1.5,,,,
Yemen,,,95,95,125,158,176,,,,0.5,0.4,0.6,0.7,0.8,
Belarus,432,386,483,353,336,240,218,,4.4,3.9,4.9,3.6,3.5,2.5,2.3,
Bulgaria,611,529,403,310,225,262,246,211,7.8,6.8,5.2,4.0,2.9,3.5,3.3,2.8
Czech Republic,646,687,596,530,637,529,480,,6.3,6.7,5.8,5.2,6.2,5.1,4.6,
Hungary,535,267,264,206,215,214,228,246,5.3,2.6,2.6,2.0,2.1,2.1,2.3,2.5
Poland,2322,2176,1987,2001,1827,1611,1530,1567,6.1,5.7,5.2,5.2,4.8,4.2,4.0,4.1
Republic of Moldova,272,297,280,268,281,306,264,368,7.0,7.8,7.4,7.2,7.7,8.4,7.3,10.3
Romania,983,953,1013,1116,1047,1016,1007,,4.5,4.4,4.7,5.1,4.8,4.7,4.7,
Russian Federation,8185,8848,9222,8871,7038,6208,5398,4907,5.6,6.1,6.4,6.2,4.9,4.3,3.8,3.4
Slovakia,233,224,200,174,182,152,142,,4.3,4.1,3.7,3.2,3.4,2.8,2.6,
Ukraine,1048,964,924,993,878,880,758,635,2.2,2.0,2.0,2.1,1.9,1.9,1.7,1.4
Denmark,472,562,475,527,492,396,400,,8.8,10.4,8.8,9.7,9.0,7.2,6.4,
Estonia,107,121,179,153,122,160,124,81,7.9,9.0,13.3,11.4,9.1,11.9,9.2,6.0
Finland,573,595,593,613,739,915,660,818,11.0,11.4,11.3,11.6,14.0,17.2,12.4,15.2
Iceland,69,51,75,72,87,68,78,,23.8,17.4,25.3,23.9,28.5,21.9,24.7,
Ireland,370,409,451,371,357,348,377,479,9.2,10.0,10.8,8.8,8.3,8.0,8.5,10.7
Latvia,123,319,251,129,93,100,69,78,5.3,13.8,10.9,5.6,4.1,4.4,3.1,3.5
Lithuania,278,260,265,253,200,164,149,208,8.1,7.6,7.8,7.4,5.9,4.9,4.5,6.3
Norway,706,739,798,840,945,944,998,938,15.5,16.1,17.3,18.0,20.0,19.8,20.6,19.2
Sweden,2235,2261,3787,4208,4749,5446,5937,5960,25.0,25.2,41.9,46.3,51.8,59.0,63.8,63.5
United Kingdom (Scotland),794,900,975,922,908,821,884,,15.7,17.7,19.1,18.0,17.7,15.9,17.0,
Albania,,,49,40,41,39,34,24,,,1.6,1.3,1.3,1.2,1.1,0.7
Andorra,,,,,2,2,0,1,,,,,2.5,2.4,0.0,1.2
Bosnia and Herzegovina,,,39,40,44,35,29,46,,,1.0,1.1,1.2,0.9,0.8,1.2
Croatia,213,165,142,187,162,188,129,141,4.8,3.7,3.2,4.2,3.7,4.3,2.9,3.2
Greece,231,240,177,182,185,232,213,215,2.1,2.2,1.6,1.6,1.6,2.1,1.9,1.9
Italy,2744,3734,4020,4513,,,,,4.7,6.4,6.9,7.6,,,,
Malta *,11,13,7,17,10,19,12,11*,2.7,3.2,1.7,4.1,2.4,4.6,2.9,2.6*
Montenegro,,,8,11,,,,,,,1.3,1.8,,,,
Portugal,392,338,365,341,305,314,377,424,3.7,3.2,3.5,3.2,2.9,3.0,3.5,4.0
Serbia,,,89,115,105,123,111,72,,,0.9,1.2,1.1,1.2,1.1,0.7
Slovenia,70,87,58,55,97,57,79,63,3.5,4.4,2.9,2.7,4.8,2.8,3.9,3.1
Spain,,,2140,2102,2530,2437,2051,1578,,,4.9,4.8,5.7,5.4,4.5,3.4
Republic of Macedonia,,,93,103,,,,,,,4.6,5.0,,,,
Austria,,687,678,700,710,693,779,875,,8.4,8.2,8.5,8.5,8.3,9.3,10.4
Belgium,2850,2944,3029,3194,3232,3126,2953,2991,27.7,28.4,29.1,30.5,30.7,29.5,27.7,27.9
France,10408,10506,9993,9784,10132,10277,10108,,17.3,17.3,16.4,15.9,16.4,16.5,16.2,
Germany,8766,8831,8133,8118,7511,7292,7314,7724,10.6,10.7,9.9,9.8,9.1,8.8,8.9,9.4
Liechtenstein,0,1,4,2,1,3,0,0,0.0,2.9,11.5,5.7,2.8,8.4,0.0,0.0
Luxembourg,,,,40,44,57,,,,,,8.6,9.2,11.7,,
Monaco,1,,3,2,,,,,2.8,,8.5,5.7,,,,
Netherlands,1700,1800,2485,2385,2095,1920,1850,1530,10.5,11.1,15.2,14.6,12.7,11.6,11.2,9.2
Switzerland *,547,573,646,639,648,612,666,543*,7.5,7.8,8.7,8.6,8.6,8.1,8.7,7.1*
Australia,,,,,,6382,6343,6378,,,,,,29.7,29.0,28.6
New Zealand,,,994,1183,1143,1130,1128,1129,,,24.0,28.3,27.0,26.4,26.1,25.8
South Africa[18],,,,,,,46647,48259,,,,,,,94,95.9
Solomon Islands,,170,65,79,61,56,,,,37.2,13.8,16.4,12.3,11.00,,
